Order	Family	Genus	Species	Latin_name	Reef_associated
1139	Perciformes	Haemulidae	Haemulon	parra	Haemulon_parra	1
1140	Perciformes	Haemulidae	Haemulon	plumierii	Haemulon_plumierii	1
1141	Perciformes	Haemulidae	Haemulon	sciurus	Haemulon_sciurus	1
1142	Perciformes	Haemulidae	Haemulon	steindachneri	Haemulon_steindachneri	1
1143	Perciformes	Haemulidae	Haemulon	striatum	Haemulon_striatum	1
1145	Perciformes	Haemulidae	Orthopristis	ruber	Orthopristis_ruber	1
1146	Perciformes	Haemulidae	Pomadasys	corvinaeformis	Pomadasys_corvinaeformis	1
1147	Perciformes	Haemulidae	Pomadasys	crocro	Pomadasys_crocro	1
1149	Perciformes	Priacanthidae	Priacanthus	arenatus	Priacanthus_arenatus	1
1150	Perciformes	Priacanthidae	Heteropriacanthus	cruentatus	Heteropriacanthus_cruentatus	1
1151	Perciformes	Scaridae	Nicholsina	usta_usta	Nicholsina_usta_usta	1
11512	Albuliformes	Albulidae	Albula	glossodonta	Albula_glossodonta	1
1152	Perciformes	Scaridae	Scarus	coelestinus	Scarus_coelestinus	1
1153	Perciformes	Scaridae	Scarus	coeruleus	Scarus_coeruleus	1
1154	Perciformes	Scaridae	Scarus	iseri	Scarus_iseri	1
1155	Perciformes	Scaridae	Scarus	guacamaia	Scarus_guacamaia	1
1156	Perciformes	Scaridae	Scarus	taeniopterus	Scarus_taeniopterus	1
1157	Perciformes	Scaridae	Scarus	vetula	Scarus_vetula	1
1158	Perciformes	Scaridae	Sparisoma	aurofrenatum	Sparisoma_aurofrenatum	1
1159	Perciformes	Scaridae	Sparisoma	chrysopterum	Sparisoma_chrysopterum	1
116	Perciformes	Scombridae	Scomber	australasicus	Scomber_australasicus	0
1160	Perciformes	Scaridae	Sparisoma	rubripinne	Sparisoma_rubripinne	1
1161	Perciformes	Scaridae	Sparisoma	viride	Sparisoma_viride	1
11614	Perciformes	Gobiidae	Amblyeleotris	gymnocephala	Amblyeleotris_gymnocephala	1
11616	Perciformes	Blenniidae	Salarias	guttatus	Salarias_guttatus	1
11618	Perciformes	Gobiidae	Pleurosicya	elongata	Pleurosicya_elongata	1
11619	Perciformes	Apogonidae	Apogon	multilineatus	Apogon_multilineatus	1
1162	Perciformes	Sciaenidae	Bairdiella	batabana	Bairdiella_batabana	1
11620	Perciformes	Labridae	Pseudocoris	heteroptera	Pseudocoris_heteroptera	1
